precio,area,habitaciones,banos,latitud,longitud,precio_m2,ciudad,departamento,tipo_propiedad,categoria_tamano,categoria_precio
750000000.0,700.0,5.0,7.0,3.485,-76.529,1071428.5714285714,Cali,Valle Del Cauca,Casa,Muy Grande,Premium
1900000000.0,1000.0,40.0,20.0,5.324,-72.404,1900000.0,Yopal,Casanare,Otro,Muy Grande,Premium
220000000.0,72.0,3.0,2.0,3.371,-76.519,3055555.5555555555,Cali,Valle Del Cauca,Apartamento,Mediana,Media
183830000.0,55.0,2.0,2.0,6.236,-75.583,3342363.6363636362,Medellín,Antioquia,Apartamento,Mediana,Media
175730000.0,52.0,2.0,2.0,6.236,-75.585,3379423.076923077,Medellín,Antioquia,Apartamento,Mediana,Media
260000000.0,60.0,3.0,2.0,6.216,-75.6,4333333.333333333,Medellín,Antioquia,Apartamento,Mediana,Media
40000000.0,30.0,2.0,1.0,6.248,-75.581,1333333.3333333333,Medellín,Antioquia,Oficina,Pequeña,Económica
2700000000.0,1511.0,9.0,4.0,4.585,-74.101,1786896.0953011252,Bogotá D.C,Cundinamarca,Otro,Muy Grande,Premium
305000000.0,62.0,2.0,2.0,6.189,-75.581,4919354.838709678,Medellín,Antioquia,Apartamento,Mediana,Alta
960000000.0,156.0,3.0,4.0,6.193,-75.562,6153846.153846154,Medellín,Antioquia,Apartamento,Muy Grande,Premium
1200000000.0,140.0,2.0,2.0,4.691,-74.033,8571428.57142857,Bogotá D.C,Cundinamarca,Casa,Grande,Premium
1200000000.0,140.0,2.0,2.0,4.691,-74.033,8571428.57142857,Bogotá D.C,Cundinamarca,Casa,Grande,Premium
280000000.0,67.0,3.0,2.0,4.716,-74.031,4179104.4776119404,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Media
450000000.0,76.0,1.0,2.0,4.704,-74.043,5921052.631578947,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Alta
800000000.0,150.0,3.0,2.0,4.692,-74.035,5333333.333333333,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
